停車場型態,停車場代碼,停車場名稱,停車場地址,即時車位,大型車(一般),小型車(一般),小型車(身障),小型車(婦幼),小型車(綠能),機車(一般),機車(身障),收費時間,收費費率,經緯度
公有免費停車場,01,湖美街60巷臨時免費公有停車場,臺南市中西區湖美街60巷(西湖社區活動中心旁),-1,0,39,1,0,0,30,0,,,23.001348，120.180463
公有免費停車場,02,裕平路公有停車場(廣停E2),臺南市東區裕平路、裕和二街口(虎尾寮公有零售市場旁),-1,0,52,2,0,0,0,0,,,22.985099，120.240635
公有免費停車場,03,精忠三村臨時停車場,臺南市東區中華東路一段(夢時代對面),-1,0,208,6,0,0,0,0,,,22.992259，120.234134
公有免費停車場,04,大林路111巷公有停車場(停11),臺南市南區大林路111巷、大同路2段482巷72弄中間,-1,0,36,0,0,0,0,0,,,22.974261，120.212021
公有免費停車場,05,竹溪街公有停車場(停10),臺南市南區竹溪街、健康路一段133巷51弄口(何必館大樓旁),-1,0,25,0,0,0,0,0,,,22.979404，120.210122
公有免費停車場,06,安平港鯤鯓站臨時免費公有停車場,臺南市南區安平港聯外道路(四鯤鯓碼頭管制站前),-1,0,89,0,0,0,13,0,,,22.966607，120.165861
公有免費停車場,07,黃金海岸停車場,臺南市南區西濱公路182.5公里處(黃金海岸旁),-1,0,343,8,0,0,0,0,,,22.935294，120.176096
公有免費停車場,08,舉喜堂路外停車場(廣停S7),臺南市南區明興路1087巷,-1,0,23,1,0,0,0,0,,,22.929762，120.186599
公有免費停車場,09,公園路兵配場臨時路外公有停車場,臺南市北區公園路(兵工配件場),-1,12,414,8,0,0,800,0,,,23.001733，120.208858
公有免費停車場,10,北成路38巷口臨時免費公有停車場,臺南市北區北成路、北成路38巷口(北成基督教會旁),-1,0,37,1,0,0,0,0,,,23.018801，120.210622
公有免費停車場,11,成功里福安公園臨時免費公有停車場,臺南市北區北成路、北成路186巷、372巷間,-1,0,19,0,0,0,36,0,,,23.020956，120.207658
公有免費停車場,12,賢北街臨時免費公有停車場,臺南市北區大興街、賢北街口,-1,0,74,0,0,0,0,0,,,23.009077，120.182972
公有免費停車場,13,北成路，停N15,臺南市北區北成路與北安路一段262巷口,-1,0,18,1,0,0,0,0,,,23.020163，120.207459
公有免費停車場,14,文賢路365巷口臨時免費公有停車場,臺南市北區文賢路365巷、文賢路365巷18弄口,-1,0,18,0,0,0,0,0,,,23.007993，120.193168
公有免費停車場,15,成德停四免費公有停車場,臺南市北區海安路3段388巷、立賢路1段650巷口,-1,0,56,2,0,0,0,0,,,23.008784，120.202745
公有免費停車場,17,大興四自辦重劃區公有停車場,臺南市北區大興街76巷,-1,0,28,2,0,0,0,0,,,23.013149，120.191955
公有免費停車場,18,大道停6路外停車場,臺南市北區北門路2段與和緯路1段路口西北側,-1,0,62,2,0,0,0,0,,,23.009483，120.215684
公有免費停車場,19,怡平停九免費臨時停車場,臺南市安平區怡平路、永華6街口,-1,0,36,1,0,0,0,0,,,22.993143，120.176998
公有免費停車場,20,育平七街60巷公有停車場(停8),臺南市安平區育平七街60巷(慶平路安億停車場後方),-1,0,50,2,0,0,0,0,,,22.997098，120.165344
公有免費停車場,21,建平八街臨時免費公有停車場,臺南市安平區建平8街、建平9街與永華3街口(郵局西側),-1,0,61,3,0,0,0,0,,,22.990774，120.181339
公有免費停車場,22,民權路四段停車場,臺南市安平區民權路4段尾(抽水站旁),-1,0,100,2,0,0,0,0,,,23.0024439，120.1657798
公有免費停車場,23,育平9街公有停車場(停10),臺南市安平區國平路、育平9街口,-1,0,47,1,0,0,0,0,,,22.995457，120.171169
公有免費停車場,24,郡平路口臨時路外公有停車場,臺南市安平區郡平路(郡平路388號對面),-1,0,70,0,0,0,39,0,,,22.989390，120.161398
公有免費停車場,25,文平路與建平五街免費臨時停車場,臺南市安平區文平路、建平五街口,-1,0,66,1,0,0,0,0,,,22.98782，120.177861
公有免費停車場,28,國平自辦市地重劃區公有停車場,臺南市安平區健康路3段、國平路口,-1,0,81,2,0,0,0,0,,,22.983464，120.171584
公有免費停車場,29,本原街3段，停1,臺南市安南區本原街3段、智安三街口(本淵寮公有零售市場東側),-1,0,40,0,0,0,0,0,,,23.053085，120.177632
公有免費停車場,30,安順里臨時免費公有停車場,臺南市安南區總安街1段、育安街口,-1,0,58,2,0,0,21,0,,,23.051340，120.215377
公有免費停車場,31,安通自辦重劃區公有停車場,臺南市安南區安和路1段263巷66號旁,-1,0,8,1,0,0,0,0,,,23.031608，120.210249
公有免費停車場,32,總安一自辦重劃區公有停車場,臺南市安南區安和路四段533巷151弄46號安南區安和路四段351巷,-1,0,51,4,0,0,0,0,,,23.059597，120.215128
公有免費停車場,33,高鐵台南車站停一停車場,臺南市歸仁區高發一路與高發二路中間段北邊(歸仁七路旁),-1,0,78,2,0,0,133,0,,,22.927048，120.288496
公有免費停車場,34,高鐵台南車站停二停車場,臺南市歸仁區高發一路與高發二路中間段南邊(歸仁十三路旁),-1,0,87,2,0,0,88,0,,,22.924538，120.289762
公有免費停車場,35,高鐵台南車站停三停車場,臺南市歸仁區站后一路(歸仁三路與歸仁五路中間),-1,0,71,2,0,0,0,0,,,22.930103，120.285846
公有免費停車場,36,高鐵台南車站停四停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)北邊,-1,0,32,2,0,0,0,0,,,22.928866，120.286463
公有免費停車場,37,高鐵台南車站停五停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)南邊,-1,0,34,2,0,0,0,0,,,22.927999，120.286902
公有免費停車場,38,高鐵台南車站停六停車場,臺南市歸仁區武當路(歸仁六路與歸仁八路中間),-1,0,40,2,0,0,0,0,,,22.928414，120.282342
公有免費停車場,39,高鐵台南車站停七停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)北邊,-1,0,34,2,0,0,0,0,,,22.927400，120.282909
公有免費停車場,40,高鐵台南車站停八停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)南邊,-1,0,34,2,0,0,0,0,,,22.926511，120.283375
公有免費停車場,41,高鐵台南車站停九停車場,臺南市歸仁區高鐵八路與高鐵六路口,-1,0,81,3,0,0,86,0,,,22.924441，120.280069
