停車場型態,停車場代碼,停車場名稱,停車場地址,即時車位,大型車(一般),小型車(一般),小型車(身障),小型車(婦幼),小型車(綠能),機車(一般),機車(身障),收費時間,收費費率,經緯度
公有收費停車場,01,青年路東門市場公有收費停車場(9015),臺南市中西區青年路近萬昌街路口南側,-1,0,14,1,0,1,0,0,08:00~22:00 ,20元/時 ,22.991689，120.210337
公有收費停車場,03,延平郡王祠大埔街口路外停車場,臺南市中西區開山路與大埔街路口西側,-1,0,4,1,0,1,0,0,08:00~22:00 ,20元/時 ,22.987274，120.208698
公有收費停車場,04,客家文化會館路外停車場,臺南市南區夏林路客家文化會館旁,-1,0,34,2,0,2,0,0,08:00~22:00 ,20元/時 ,22.985834，120.194661
公有收費停車場,06,萬昌街公有停車場,臺南市中西區萬昌街、青年路226巷6弄路口,-1,0,26,1,0,2,0,0,08:00~22:00 ,20元/時 ,22.991089，120.210416
公有收費停車場,07,民生路臨時停車場(機25),臺南市中西區民生路二段400巷西側(原警察局拖吊場),-1,0,106,6,6,6,58,0,08:00~22:00 ,20元/時 ,22.997720，120.188265
公有收費停車場,10,青年路停E8路外停車場,臺南市東區青年路近育樂街路口南側,-1,0,74,2,0,4,0,0,08:00~22:00 ,20元/時 ,22.991371，120.213666
公有收費停車場,11,崇明路停E6路外停車場,臺南市東區崇明路崇明國中南側,-1,0,89,2,2,3,0,0,08:00~22:00 ,20元/時 ,22.968903，120.225593
公有收費停車場,12,德光公園停車場,臺南市東區崇德一街德光公園東北側,-1,0,18,1,0,1,11,0,08:00~22:00 ,20元/時 ,22.980212，120.219564
公有收費停車場,13,崇明五街公兒E37臨時路外停車場,臺南市東區崇明路與崇明五街口西南側,-1,0,30,1,1,1,0,0,08:00~22:00 ,20元/時 ,22.979917，120.217155
公有收費停車場,15,忠烈祠廣場停車場,臺南市南區健康路1段忠烈祠旁,-1,0,47,3,0,3,0,0,08:00~22:00 ,20元/時 ,22.980924，120.210340
公有收費停車場,16,臺南市立棒球場北側路外停車場,臺南市南區健康路1段市立棒球場北側,-1,0,21,1,0,2,0,0,08:00~22:00 ,20元/時 ,22.981212，120.205555
公有收費停車場,17,體育之心路外停車場,臺南市南區南門路市立體育場西側,-1,0,109,3,0,3,266,0,08:00~22:00 ,20元/時 ,22.978370，120.204934
公有收費停車場,18,水交社路外停車場,臺南市南區南門路與興中街路口,-1,0,56,2,0,4,0,0,08:00~22:00 ,20元/時 ,22.979491，120.203736
公有收費停車場,19,市立圖書館廣場停車場,臺南市北區公園路市立圖書館前,-1,0,56,1,0,2,0,0,08:00~22:00 ,20元/時 ,23.004306，120.211019
公有收費停車場,21,北園公兒23路外停車場,臺南市北區北園街114巷,-1,4,108,3,0,3,0,0,08:00~22:00 ,20元/時 ,23.013079，120.224648
公有收費停車場,22,小北商場路外停車場,臺南市北區小北商場後方(育德路東側),-1,0,120,3,0,3,0,0,08:00~22:00 ,20元/時 ,23.008586，120.205071
公有收費停車場,23,勝安香草公園路外停車場,臺南市北區開元路63巷勝安香草公園北側,-1,0,16,1,0,1,0,0,08:00~22:00 ,20元/時 ,23.006637，120.215783
公有收費停車場,24,停2路外停車場,臺南市安平區建平16街近中華西路南、北兩側,-1,0,160,4,0,4,0,0,08:00~22:00 ,20元/時 ,22.996602，120.185584
公有收費停車場,25,林默娘紀念公園停車場,臺南市安平區安億路林默娘公園旁,-1,0,185,4,0,4,227,0,08:00~22:00 ,20元/時 ,22.9928133，120.15703
公有收費停車場,26,港濱歷史公園停車場,臺南市安平區安億路與平豐路路口西北側,-1,0,52,1,0,3,0,0,08:00~22:00 ,20元/時 ,22.994969，120.163416
公有收費停車場,27,億載公園停車場,臺南市安平區永華路2段與光州路路口西南側,-1,0,101,3,0,3,102,0,08:00~22:00 ,20元/時 ,22.991168，120.159479
公有收費停車場,29,永康區停三立體停車場,臺南市永康區華興街77號,-1,0,279,5,5,0,0,0,24小時 ,20元/時 ,23.000707，120.237698
公有收費停車場,30,仁德區仁德立體停車場、市一地下停車場,臺南市仁德區正義一街41號,-1,0,283,6,5,0,74,0,24小時 ,20元/時 ,22.972604，120.253466
公有收費停車場,31,新營區停六停車場,臺南市新營區新營火車站西南側,-1,0,5,1,1,1,189,0,24小時 ,小車20元/時 機車30元/次,23.306363，120.322730
公有收費停車場,32,新市國小地下停車場,臺南市新市區中興路1號B1,-1,0,154,3,3,1,0,0,24小時 ,20元/時 ,23.078349，120.295367
公有收費停車場,9033,環河街臨時停車場,臺南市中西區臺南市中西區環河街56號,-1,0,33,2,1,1,0,0,08:00-22:00,20/時,
公有收費停車場,9034,西門路育賢停車場,臺南市北區臺南市西門路4段341巷內,-1,0,26,1,1,1,0,0,8:00-22:00,20/時,
公有收費停車場,9035,大豐公園停車場,臺南市北區和緯路與武聖路交叉口,-1,0,18,1,1,1,0,0,每日08:00~22:00 ,20元/時,23.0074151，120.1874729
公有收費停車場,9036,大興公園停車場,臺南市北區大興街(好市多正後方),-1,0,150,8,3,3,0,0,08:00~22:00 ,20元/時,23.0117569，120.1928463
公有收費停車場,A00041,水景公園路外停車場,臺南市安平區安北路水景公園旁,0,19,134,4,0,0,0,0,08:00~22:00 ,20元/時 ,22.999175，120.157886
公有收費停車場,A00051,崇善路龍山停車場,臺南市東區崇善路51號,3,0,144,4,3,7,23,1,24小時,20元/時,22.982593，120.221534
公有收費停車場,A00061,東光路地下停車場,臺南市東區東光路1段76號,148,0,231,6,6,9,0,0,24小時 ,20元/時 ,22.992491，120.231296
公有收費停車場,A00091,海安公6停車場,臺南市北區台南市中西區海安路與公園南路口,41,0,182,5,4,4,0,0,24時,20元/時,23.002824，120.200547
公有收費停車場,A00101,南瀛綠都心公園地下停車場,臺南市新營區臺南市新營區民權里中正路23-1號,-1,0,296,6,6,0,0,0,24小時收費，例假日亦同。,收費方式以小時為計費單位，停車費率每小時收費新台幣20元整，其停車時數未滿一小時者，以一小時計算收費。停車時數逾一小時以上，其超過之不滿一小時部分，如不逾三十分鐘者，以半小時計算；如逾三十分鐘者，仍以一小時計算收費。當日當次最高收費新台幣120元整。,23.3112479，120.315614
