Title,Address,Car,Moto,Money,Lat,Lon
青年路東門市場公有收費停車場(9015),臺南市中西區青年路近萬昌街路口南側,14,0,20元/時,22.991689,120.210337
延平郡王祠大埔街口路外停車場,臺南市中西區開山路與大埔街路口西側,4,0,20元/時,22.987274,120.208698
客家文化會館路外停車場,臺南市南區夏林路客家文化會館旁,34,0,20元/時,22.985834,120.194661
萬昌街公有停車場,臺南市中西區萬昌街、青年路226巷6弄路口,26,0,20元/時,22.991089,120.210416
民生路臨時停車場(機25),臺南市中西區民生路二段400巷西側(原警察局拖吊場),106,58,20元/時,22.99772,120.188265
青年路停E8路外停車場,臺南市東區青年路近育樂街路口南側,74,0,20元/時,22.991371,120.213666
崇明路停E6路外停車場,臺南市東區崇明路崇明國中南側,89,0,20元/時,22.968903,120.225593
德光公園停車場,臺南市東區崇德一街德光公園東北側,18,11,20元/時,22.980212,120.219564
崇明五街公兒E37臨時路外停車場,臺南市東區崇明路與崇明五街口西南側,30,0,20元/時,22.979917,120.217155
忠烈祠廣場停車場,臺南市南區健康路1段忠烈祠旁,47,0,20元/時,22.980924,120.21034
臺南市立棒球場北側路外停車場,臺南市南區健康路1段市立棒球場北側,21,0,20元/時,22.981212,120.205555
體育之心路外停車場,臺南市南區南門路市立體育場西側,109,266,20元/時,22.97837,120.204934
水交社路外停車場,臺南市南區南門路與興中街路口,56,0,20元/時,22.979491,120.203736
市立圖書館廣場停車場,臺南市北區公園路市立圖書館前,56,0,20元/時,23.004306,120.211019
北園公兒23路外停車場,臺南市北區北園街114巷,108,0,20元/時,23.013079,120.224648
小北商場路外停車場,臺南市北區小北商場後方(育德路東側),120,0,20元/時,23.008586,120.205071
勝安香草公園路外停車場,臺南市北區開元路63巷勝安香草公園北側,16,0,20元/時,23.006637,120.215783
停2路外停車場,臺南市安平區建平16街近中華西路南、北兩側,160,0,20元/時,22.996602,120.185584
林默娘紀念公園停車場,臺南市安平區安億路林默娘公園旁,185,227,20元/時,22.9928133,120.15703
港濱歷史公園停車場,臺南市安平區安億路與平豐路路口西北側,52,0,20元/時,22.994969,120.163416
億載公園停車場,臺南市安平區永華路2段與光州路路口西南側,101,102,20元/時,22.991168,120.159479
永康區停三立體停車場,臺南市永康區華興街77號,279,0,20元/時,23.000707,120.237698
仁德區仁德立體停車場、市一地下停車場,臺南市仁德區正義一街41號,283,74,20元/時,22.972604,120.253466
新營區停六停車場,臺南市新營區新營火車站西南側,5,189,小車20元/時 機車30元/次,23.306363,120.32273
新市國小地下停車場,臺南市新市區中興路1號B1,154,0,20元/時,23.078349,120.295367
環河街臨時停車場,臺南市中西區臺南市中西區環河街56號,33,0,20/時,22.9931583,120.1920625
西門路育賢停車場,臺南市北區臺南市西門路4段341巷內,26,0,20/時,23.008515,120.2079953
大豐公園停車場,臺南市北區和緯路與武聖路交叉口,18,0,20元/時,23.0074151,120.1874729
大興公園停車場,臺南市北區大興街(好市多正後方),150,0,20元/時,23.0117569,120.1928463
水景公園路外停車場,臺南市安平區安北路水景公園旁,134,0,20元/時,22.999175,120.157886
崇善路龍山停車場,臺南市東區崇善路51號,144,23,20元/時,22.982593,120.221534
東光路地下停車場,臺南市東區東光路1段76號,231,0,20元/時,22.992491,120.231296
海安公6停車場,臺南市北區台南市中西區海安路與公園南路口,182,0,20元/時,23.002824,120.200547
南瀛綠都心公園地下停車場,臺南市新營區臺南市新營區民權里中正路23-1號,296,0,收費方式以小時為計費單位，停車費率每小時收費新台幣20元整，其停車時數未滿一小時者，以一小時計算收費。停車時數逾一小時以上，其超過之不滿一小時部分，如不逾三十分鐘者，以半小時計算；如逾三十分鐘者，仍以一小時計算收費。當日當次最高收費新台幣120元整。,23.3112479,120.315614
