停車場型態,停車場代碼,停車場名稱,停車場地址,即時車位,大型車(一般),小型車(一般),小型車(身障),小型車(婦幼),小型車(綠能),機車(一般),機車(身障),收費時間,收費費率,經緯度
民營停車場,01,TIMES台南民生路停車場,臺南市中西區民生路2段61號東南側空地,-1,0,21,1,1,1,0,0,,,22.995000，120.197607
民營停車場,02,竑穗興業有限公司建業停車場,臺南市中西區建業街58號,-1,0,50,2,1,0,0,0,,,22.987918，120.205482
民營停車場,03,郭綜合醫院立體停車場,臺南市中西區民生路2段27號,-1,0,106,2,0,0,0,0,,,22.994758，120.19839
民營停車場,04,大億麗緻酒店收費停車場,臺南市中西區西門路1段660號B3-B4,-1,0,201,5,6,1,0,0,,,22.988343，120.198262
民營停車場,05,新光三越百貨股份有限公司台南西門分公司停車場,臺南市中西區西門路1段658號,-1,0,1515,33,31,1,0,0,,,22.987029，120.200107
民營停車場,0571,文化中心廣場停車場,臺南市東區文化中心外側廣場,-1,0,48,1,1,1,0,0,每日8:00-22:00,20/時,
民營停車場,06,娛樂城停車場,臺南市中西區公園路60號,-1,0,84,2,2,0,0,0,,,22.995506，120.206413
民營停車場,08,赤崁樓停車場,臺南市中西區民族路2段212號,-1,0,92,1,0,0,0,0,,,22.996785，120.202848
民營停車場,09,府城停車場,臺南市中西區民權路2段118號地下1樓,-1,0,23,1,0,0,0,0,,,22.995699，120.203814
民營停車場,10,台灣聯通民生場,臺南市中西區民生路2段279號,-1,0,132,3,2,1,0,0,,,22.996694，120.192082
民營停車場,11,民族停車場,臺南市中西區民族路2段81號,-1,0,28,1,0,0,0,0,,,22.994521，120.209264
民營停車場,12,統穩停車場,臺南市中西區康樂街96號,-1,0,51,2,0,0,19,0,,,22.992904，120.19455
民營停車場,13,永福停車場,臺南市中西區永福路2段133號,-1,0,25,1,0,0,0,0,,,22.994232，120.201362
民營停車場,14,新光三越(股)機車停車場,臺南市中西區北門路1段123巷56號,-1,0,0,0,0,0,127,3,,,22.994817，120.210246
民營停車場,16,台灣聯通台南忠義場,臺南市中西區忠義路2段177號旁(觀音段718、726、727、728地號),-1,0,13,1,1,0,0,0,,,22.996748，120.204157
民營停車場,17,衛生福利部臺南醫院收費停車場,臺南市中西區中山路125號,-1,0,363,8,9,0,403,8,,,22.995136，120.20891
民營停車場,18,新光三越百貨股份有限公司台南中山分公司停車場,臺南市中西區中山路162號,-1,0,272,6,3,0,0,0,,,22.994518，120.209903
民營停車場,20,嘟嘟房置地廣場站停車場,臺南市中西區和意路1號B1~B3、B5(部分)、B6、B7(部分),-1,0,808,21,17,3,1134,24,,,22.988378，120.199673
民營停車場,21,新光三越百貨股份有限公司台南西門分公司二館停車場,臺南市中西區永福路1段189號地下4樓,-1,0,212,5,4,1,0,0,,,22.988378，120.199673
民營停車場,22,FOCUS停車場,臺南市中西區中山路166號,-1,0,238,4,4,1,0,0,,,22.995827，120.21034
民營停車場,23,友愛停車場,臺南市中西區永福段648、649地號,-1,0,7,1,0,0,0,0,,,22.994318，120.201459
民營停車場,24,鈦興停車場,臺南市中西區健康路1段390巷地下室,-1,0,44,1,2,1,0,0,,,22.981965，120.198724
民營停車場,26,成功路停車場,臺南市中西區忠義路2段237號旁(觀音段577、580、581、582地號),-1,0,25,1,1,1,0,0,,,22.998212，120.204623
民營停車場,28,TIMES台南忠義成功停車場,臺南市中西區忠義路2段236號北側空地（觀音段415、416地號）,-1,0,21,1,1,1,0,0,,,22.997686，120.204623
民營停車場,29,台南西門停車場,臺南市中西區友愛街177號對面,-1,0,69,1,1,1,0,0,,,22.991848，120.197869
民營停車場,30,嘉年華購物中心停車場,臺南市仁德區仁愛村仁愛1213號,-1,0,895,7,16,1,391,10,,,22.947817，120.219287
民營停車場,31,台糖仁德停車場,臺南市仁德區仁愛村28鄰1126-11號,-1,0,268,6,0,0,0,0,,,22.946122，120.219752
民營停車場,32,泰豐停車場,臺南市仁德區中洲里307-2號,-1,0,0,0,0,0,152,3,,,22.904892，120.252826
民營停車場,33,國賓停車場,臺南市北區成功路2號地下3樓,-1,0,84,1,0,0,0,0,,,22.998143，120.211470
民營停車場,34,竑穗興業有限公司開元停車場,臺南市北區開元路181號,-1,0,99,4,2,0,0,0,,,23.007221，120.219127
民營停車場,35,成功大學醫學中心附屬停車場,臺南市中西區勝利路138號,-1,0,56,2,1,1,81,1,,,23.002181，120.218977
民營停車場,36,成大醫院汽機車停車場,臺南市北區小東路35號,-1,0,433,11,8,0,485,10,,,23.001177，120.217010
民營停車場,37,見橋停車場,臺南市永康區中華路870號旁空地,-1,0,0,0,0,0,91,2,,,23.021339，120.221810
民營停車場,38,奇美醫療財團法人奇美醫院停車場,臺南市永康區頂南段598~602、604、607-1、607-2、608、610~615、616-1、617-1、618~620、798、799、802~805地號等26筆土地(中正南路52巷),-1,0,231,6,4,1,861,23,,,23.020665，120.221036
民營停車場,39,奇美醫院來賓第三停車場,臺南市永康區中正南路52巷68弄內,-1,0,152,4,3,1,0,0,,,23.019841，120.218857
民營停車場,40,品億商行停車場,臺南市永康區永和段55地號土地(忠孝路與中山南路316巷路口東北側),-1,23,0,0,0,0,0,0,,,23.015162，120.242686
