Title,Address,Car,Moto,Money,Lat,Lon
TIMES台南民生路停車場,臺南市中西區民生路2段61號東南側空地,21,0,無提供資訊,22.995,120.197607
竑穗興業有限公司建業停車場,臺南市中西區建業街58號,50,0,無提供資訊,22.987918,120.205482
郭綜合醫院立體停車場,臺南市中西區民生路2段27號,106,0,無提供資訊,22.994758,120.19839
大億麗緻酒店收費停車場,臺南市中西區西門路1段660號B3-B4,201,0,無提供資訊,22.988343,120.198262
新光三越百貨股份有限公司台南西門分公司停車場,臺南市中西區西門路1段658號,1515,0,無提供資訊,22.987029,120.200107
文化中心廣場停車場,臺南市東區文化中心外側廣場,48,0,20/時,22.974732,120.221648
娛樂城停車場,臺南市中西區公園路60號,84,0,無提供資訊,22.995506,120.206413
赤崁樓停車場,臺南市中西區民族路2段212號,92,0,無提供資訊,22.996785,120.202848
府城停車場,臺南市中西區民權路2段118號地下1樓,23,0,無提供資訊,22.995699,120.203814
台灣聯通民生場,臺南市中西區民生路2段279號,132,0,無提供資訊,22.996694,120.192082
民族停車場,臺南市中西區民族路2段81號,28,0,無提供資訊,22.994521,120.209264
統穩停車場,臺南市中西區康樂街96號,51,19,無提供資訊,22.992904,120.19455
永福停車場,臺南市中西區永福路2段133號,25,0,無提供資訊,22.994232,120.201362
新光三越(股)機車停車場,臺南市中西區北門路1段123巷56號,0,127,無提供資訊,22.994817,120.210246
台灣聯通台南忠義場,臺南市中西區忠義路2段177號旁(觀音段718、726、727、728地號),13,0,無提供資訊,22.996748,120.204157
衛生福利部臺南醫院收費停車場,臺南市中西區中山路125號,363,403,無提供資訊,22.995136,120.20891
新光三越百貨股份有限公司台南中山分公司停車場,臺南市中西區中山路162號,272,0,無提供資訊,22.994518,120.209903
嘟嘟房置地廣場站停車場,臺南市中西區和意路1號B1~B3、B5(部分)、B6、B7(部分),808,1134,無提供資訊,22.988378,120.199673
新光三越百貨股份有限公司台南西門分公司二館停車場,臺南市中西區永福路1段189號地下4樓,212,0,無提供資訊,22.988378,120.199673
FOCUS停車場,臺南市中西區中山路166號,238,0,無提供資訊,22.995827,120.21034
友愛停車場,臺南市中西區永福段648、649地號,7,0,無提供資訊,22.994318,120.201459
鈦興停車場,臺南市中西區健康路1段390巷地下室,44,0,無提供資訊,22.981965,120.198724
成功路停車場,臺南市中西區忠義路2段237號旁(觀音段577、580、581、582地號),25,0,無提供資訊,22.998212,120.204623
TIMES台南忠義成功停車場,臺南市中西區忠義路2段236號北側空地（觀音段415、416地號）,21,0,無提供資訊,22.997686,120.204623
台南西門停車場,臺南市中西區友愛街177號對面,69,0,無提供資訊,22.991848,120.197869
嘉年華購物中心停車場,臺南市仁德區仁愛村仁愛1213號,895,391,無提供資訊,22.947817,120.219287
台糖仁德停車場,臺南市仁德區仁愛村28鄰1126-11號,268,0,無提供資訊,22.946122,120.219752
泰豐停車場,臺南市仁德區中洲里307-2號,0,152,無提供資訊,22.904892,120.252826
